Datum&Uhrzeit 	File 	SZA 	Messdauer 	ExposureTime 	AnzahlScans 	Aussteuerung
Tue Apr 23 09:13:51 UTC+0 2019	61821	45.683	0.93333	56	1000	84
Tue Apr 23 09:14:49 UTC+0 2019	61822	45.568	0.93333	56	1000	83
Tue Apr 23 09:15:46 UTC+0 2019	61823	45.454	0.93333	56	1000	84
Tue Apr 23 09:16:44 UTC+0 2019	61824	45.339	0.93333	56	1000	83
Tue Apr 23 09:17:42 UTC+0 2019	61825	45.225	0.93333	56	1000	82
Tue Apr 23 09:18:39 UTC+0 2019	61826	45.113	0.93333	56	1000	82
Tue Apr 23 09:19:37 UTC+0 2019	61827	45	0.93333	56	1000	83
Tue Apr 23 09:20:35 UTC+0 2019	61828	44.887	0.93333	56	1000	83
Tue Apr 23 09:21:32 UTC+0 2019	61829	44.777	0.93333	56	1000	84
Tue Apr 23 09:22:30 UTC+0 2019	61830	44.666	0.93333	56	1000	85
Tue Apr 23 09:23:28 UTC+0 2019	61831	44.555	0.91667	55	1000	84
Tue Apr 23 09:24:25 UTC+0 2019	61832	44.446	0.91667	55	1000	85
Tue Apr 23 09:25:22 UTC+0 2019	61833	44.339	0.9	54	1000	84
Tue Apr 23 09:26:17 UTC+0 2019	61834	44.235	0.88333	53	1000	83
Tue Apr 23 09:27:12 UTC+0 2019	61835	44.132	0.88333	53	1000	84
Tue Apr 23 09:28:07 UTC+0 2019	61836	44.029	0.88333	53	1000	85
Tue Apr 23 09:29:01 UTC+0 2019	61837	43.929	0.86667	52	1000	84
Tue Apr 23 09:29:55 UTC+0 2019	61838	43.83	0.86667	52	1000	84
Tue Apr 23 09:30:48 UTC+0 2019	61839	43.733	0.86667	52	1000	85
Tue Apr 23 09:31:42 UTC+0 2019	61840	43.634	0.85	51	1000	84
Tue Apr 23 09:32:35 UTC+0 2019	61841	43.538	0.85	51	1000	85
Tue Apr 23 09:33:28 UTC+0 2019	61842	43.442	0.83333	50	1000	84
Tue Apr 23 09:34:19 UTC+0 2019	61843	43.351	0.83333	50	1000	85
Tue Apr 23 09:35:11 UTC+0 2019	61844	43.258	0.83333	50	1000	85
Tue Apr 23 09:36:02 UTC+0 2019	61845	43.167	0.81667	49	1000	83
Tue Apr 23 09:36:53 UTC+0 2019	61846	43.077	0.81667	49	1000	83
Tue Apr 23 09:37:43 UTC+0 2019	61847	42.99	0.81667	49	1000	83
Tue Apr 23 09:38:34 UTC+0 2019	61848	42.901	0.81667	49	1000	83
Tue Apr 23 09:39:24 UTC+0 2019	61849	42.814	0.81667	49	1000	83
Tue Apr 23 09:40:15 UTC+0 2019	61850	42.726	0.81667	49	1000	83
Tue Apr 23 09:41:05 UTC+0 2019	61851	42.64	0.81667	49	1000	83
Tue Apr 23 09:41:56 UTC+0 2019	61852	42.553	0.81667	49	1000	83
Tue Apr 23 09:42:46 UTC+0 2019	61853	42.468	0.81667	49	1000	84
Tue Apr 23 09:43:37 UTC+0 2019	61854	42.382	0.81667	49	1000	84
Tue Apr 23 09:44:27 UTC+0 2019	61855	42.299	0.81667	49	1000	85
Tue Apr 23 09:45:18 UTC+0 2019	61856	42.214	0.81667	49	1000	85
Tue Apr 23 09:46:08 UTC+0 2019	61857	42.131	0.81667	49	1000	85
Tue Apr 23 09:46:59 UTC+0 2019	61858	42.047	0.8	48	1000	83
Tue Apr 23 09:47:48 UTC+0 2019	61859	41.967	0.8	48	1000	83
Tue Apr 23 09:48:38 UTC+0 2019	61860	41.886	0.8	48	1000	83
Tue Apr 23 09:49:27 UTC+0 2019	61861	41.807	0.8	48	1000	83
Tue Apr 23 09:50:17 UTC+0 2019	61862	41.727	0.8	48	1000	83
Tue Apr 23 09:51:06 UTC+0 2019	61863	41.649	0.8	48	1000	83
Tue Apr 23 09:51:56 UTC+0 2019	61864	41.57	0.8	48	1000	83
Tue Apr 23 09:52:45 UTC+0 2019	61865	41.493	0.8	48	1000	83
Tue Apr 23 09:53:35 UTC+0 2019	61866	41.415	0.8	48	1000	83
Tue Apr 23 09:54:24 UTC+0 2019	61867	41.339	0.8	48	1000	83
Tue Apr 23 09:55:14 UTC+0 2019	61868	41.262	0.8	48	1000	83
