File 	Datum 	StartZeit 	SZA  	AMF  	ChiSquare 	Streulicht_midday_log	Streulicht_midday_log Error 	Ring Streulicht_midday	Ring Streulicht_midday Error 	result of convolution O3	result of convolution O3 Error 	result of convolution H2O	result of convolution H2O Error 	result of convolution NO2	result of convolution NO2 Error 	result of convolution O4	result of convolution O4 Error 	
61821	4/23/2019 	09:13:51	45.6		0.00018285	-0.99335	0.00073847	4.2131e+23	1.5628e+24	2.22e+18	1.0295e+18	-1.855e+22	9.0408e+21	-3.0397e+14	5.1758e+14	1.9454e+42	3.6402e+42	
61822	4/23/2019 	09:14:49	45.5		0.00016999	-0.99429	0.0007338	-4.6057e+23	1.5719e+24	4.4156e+17	1.1609e+18	-6.3888e+21	8.5419e+21	3.588e+14	5.1498e+14	-3.0546e+42	3.3755e+42	
61823	4/23/2019 	09:15:46	45.3		0.00016798	-0.99358	0.00069988	5.9066e+23	1.4984e+24	1.8077e+18	1.0055e+18	-3.3457e+21	8.9785e+21	-7.5884e+14	4.8789e+14	-3.6593e+42	3.3628e+42	
61824	4/23/2019 	09:16:44	45.2		0.00016726	-0.99455	0.0007042	-2.406e+23	1.495e+24	2.3968e+18	1.0378e+18	-8.7814e+21	9.0087e+21	-6.3812e+14	4.788e+14	4.763e+40	3.1003e+42	
61825	4/23/2019 	09:17:42	45.1		0.0001737	-0.99534	0.00072049	-2.9909e+23	1.5243e+24	1.1185e+18	9.9966e+17	-1.2137e+22	8.8419e+21	6.3099e+14	4.9727e+14	1.0996e+42	3.4935e+42	
61826	4/23/2019 	09:18:39	45		0.00017209	-0.99567	0.00072821	-6.2443e+23	1.5598e+24	1.9841e+17	1.0266e+18	5.1535e+21	8.6766e+21	3.254e+14	5.0389e+14	-2.8754e+42	2.6937e+42	
61827	4/23/2019 	09:19:37	44.9		0.00016723	-0.99454	0.00070232	-3.1561e+23	1.502e+24	2.2119e+18	1.011e+18	-9.2729e+21	8.926e+21	-8.7243e+14	4.9002e+14	-5.8526e+41	3.2487e+42	
61828	4/23/2019 	09:20:35	44.8		0.00016485	-0.99414	0.00070187	-8.6267e+23	1.4916e+24	1.3468e+18	9.7918e+17	-3.7581e+21	8.5857e+21	1.3307e+15	4.857e+14	-2.9976e+42	3.3838e+42	
61829	4/23/2019 	09:21:32	44.7		0.0001628	-0.99281	0.00070373	1.5922e+24	1.5049e+24	1.9967e+18	9.9776e+17	-1.0074e+22	8.532e+21	-2.2215e+14	4.7101e+14	-1.8277e+42	3.0489e+42	
61830	4/23/2019 	09:22:30	44.5		0.00016698	-0.99283	0.00074475	-5.6632e+23	1.5479e+24	-1.0133e+18	1.1903e+18	-1.1264e+22	8.1455e+21	-6.9693e+14	4.912e+14	5.1181e+41	3.4407e+42	
61831	4/23/2019 	09:23:28	44.4		0.00017449	-0.99325	0.00072972	1.6915e+23	1.5461e+24	8.4114e+17	1.0264e+18	-6.8462e+20	8.7432e+21	-5.0774e+14	4.8067e+14	-1.6428e+42	3.0344e+42	
61832	4/23/2019 	09:24:25	44.3		0.00018141	-0.99226	0.00078556	-1.8663e+23	1.6224e+24	-1.2513e+18	1.0727e+18	-2.179e+22	7.9457e+21	1.5424e+14	5.0167e+14	-4.5004e+41	1.1662e+42	
61833	4/23/2019 	09:25:22	44.2		0.00016809	-0.99379	0.00070753	-8.5752e+23	1.4933e+24	-6.5664e+17	1.0283e+18	3.3016e+21	8.5546e+21	5.1398e+14	4.8074e+14	-2.1635e+42	3.3921e+42	
61834	4/23/2019 	09:26:17	44.1		0.00017423	-0.9948	0.00072466	-8.3007e+23	1.5444e+24	1.5423e+18	1.0063e+18	-1.0286e+22	8.6477e+21	1.3256e+14	4.9669e+14	-3.5388e+41	3.5364e+42	
61835	4/23/2019 	09:27:12	44		0.00016767	-0.99349	0.00076311	-1.7072e+23	1.5728e+24	-1.7386e+17	1.0748e+18	1.6717e+21	8.3335e+21	-6.8488e+14	4.8259e+14	-9.9664e+41	1.7208e+42	
61836	4/23/2019 	09:28:07	43.9		0.00017253	-0.99255	0.00071583	6.3786e+23	1.5181e+24	1.0142e+18	9.9634e+17	-1.5083e+22	8.777e+21	-6.3742e+12	5.0123e+14	-3.3691e+41	3.5296e+42	
61837	4/23/2019 	09:29:01	43.8		0.00016812	-0.99311	0.00072762	1.4674e+24	1.5312e+24	-6.2138e+16	1.133e+18	-1.2365e+22	8.2841e+21	3.2003e+14	4.9284e+14	-1.9021e+42	3.4099e+42	
61838	4/23/2019 	09:29:55	43.7		0.00017191	-0.99314	0.00079681	-4.5737e+22	1.6269e+24	-9.0159e+16	1.0923e+18	-1.2825e+22	8.245e+21	-1.0742e+15	4.8939e+14	1.3624e+42	1.2706e+42	
61839	4/23/2019 	09:30:48	43.6		0.00017116	-0.99247	0.00073634	4.7214e+23	1.5461e+24	1.5394e+17	1.2039e+18	-5.014e+21	8.3529e+21	8.0096e+14	4.9558e+14	-3.0583e+42	3.3993e+42	
61840	4/23/2019 	09:31:42	43.5		0.00017804	-0.99385	0.00072412	5.1489e+23	1.53e+24	-8.4717e+16	1.0852e+18	2.7036e+21	8.9945e+21	-5.683e+14	4.8263e+14	-2.8258e+42	3.4614e+42	
61841	4/23/2019 	09:32:35	43.4		0.00017938	-0.99256	0.00075592	1.0411e+24	1.5893e+24	4.1732e+17	1.1912e+18	-1.2397e+22	8.53e+21	5.2149e+14	5.1051e+14	-1.9454e+42	3.5258e+42	
61842	4/23/2019 	09:33:28	43.3		0.00017225	-0.99384	0.00070796	3.2735e+23	1.51e+24	1.0362e+18	1.0335e+18	-3.7865e+21	8.9379e+21	-7.903e+14	4.8023e+14	-1.4531e+42	3.4034e+42	
61843	4/23/2019 	09:34:19	43.2		0.00017738	-0.99238	0.00083113	2.1105e+24	1.6713e+24	-2.9968e+18	1.8334e+18	-7.0918e+21	8.0453e+21	4.2916e+14	4.9677e+14	-1.624e+42	3.4218e+42	
61844	4/23/2019 	09:35:11	43.1		0.00016725	-0.99246	0.00073368	1.8726e+24	1.5266e+24	-3.1403e+18	1.2526e+18	7.1515e+21	7.7982e+21	-1.4272e+14	4.8002e+14	-7.2858e+42	3.5667e+42	
61845	4/23/2019 	09:36:02	43		0.0001623	-0.99467	0.00070031	4.1085e+23	1.4838e+24	1.3459e+18	1.028e+18	-1.3614e+22	8.6725e+21	-5.9732e+14	4.6583e+14	-7.7481e+40	2.7309e+42	
61846	4/23/2019 	09:36:53	43		0.00016715	-0.99455	0.00070639	7.6924e+23	1.5108e+24	9.0421e+17	1.0123e+18	9.8833e+20	8.7817e+21	-1.0307e+15	4.9303e+14	-3.2033e+42	3.0364e+42	
61847	4/23/2019 	09:37:43	42.9		0.00016985	-0.99512	0.00072255	8.912e+22	1.5218e+24	-6.816e+17	1.1505e+18	-2.9444e+21	8.6667e+21	-1.3212e+15	4.9994e+14	1.2911e+42	3.3936e+42	
61848	4/23/2019 	09:38:34	42.8		0.00016743	-0.99505	0.00070312	1.0288e+24	1.4936e+24	-9.2882e+16	1.0015e+18	3.2937e+20	8.804e+21	-6.454e+14	4.7884e+14	-2.4867e+42	3.3772e+42	
61849	4/23/2019 	09:39:24	42.7		0.00015537	-0.99572	0.00068174	-7.479e+23	1.4516e+24	1.588e+18	9.75e+17	-8.535e+20	8.4446e+21	-1.2653e+15	4.6763e+14	-1.9512e+42	2.9396e+42	
