File 	Datum 	StartZeit 	SZA  	AMF  	ChiSquare 	Streulicht_midday_log	Streulicht_midday_log Error 	Ring Streulicht_midday	Ring Streulicht_midday Error 	result of convolution O3	result of convolution O3 Error 	result of convolution NO2	result of convolution NO2 Error 	result of convolution O4	result of convolution O4 Error 	
61821	4/23/2019 	09:13:51	45.6		0.0095694	-0.97539	0.0045645	-1.3794e+25	3.6374e+24	-2.2979e+18	1.6858e+17	-8.0628e+16	3.1155e+16	2.36e+44	5.9789e+43	
61822	4/23/2019 	09:14:49	45.5		0.0092525	-0.97608	0.0044918	-1.4075e+25	3.5808e+24	-2.235e+18	1.6578e+17	-7.7261e+16	3.0606e+16	2.2823e+44	5.8813e+43	
61823	4/23/2019 	09:15:46	45.3		0.0092009	-0.97663	0.0044781	-1.4106e+25	3.571e+24	-2.2757e+18	1.6504e+17	-7.7826e+16	3.0532e+16	2.2234e+44	5.8609e+43	
61824	4/23/2019 	09:16:44	45.2		0.0086204	-0.97694	0.0043324	-1.3665e+25	3.4528e+24	-2.1888e+18	1.6013e+17	-7.7817e+16	2.9571e+16	2.2149e+44	5.6698e+43	
61825	4/23/2019 	09:17:42	45.1		0.0084289	-0.97715	0.0042882	-1.3591e+25	3.4162e+24	-2.2146e+18	1.5819e+17	-7.4084e+16	2.9192e+16	2.1625e+44	5.6164e+43	
61826	4/23/2019 	09:18:39	45		0.0076738	-0.97739	0.0040897	-1.26e+25	3.259e+24	-2.0922e+18	1.5105e+17	-7.1482e+16	2.7875e+16	2.0916e+44	5.3548e+43	
61827	4/23/2019 	09:19:37	44.9		0.0076548	-0.97814	0.0040832	-1.3155e+25	3.2537e+24	-2.1162e+18	1.5083e+17	-7.3904e+16	2.7853e+16	2.0832e+44	5.3515e+43	
61828	4/23/2019 	09:20:35	44.8		0.007373	-0.97873	0.0040077	-1.2921e+25	3.194e+24	-2.0406e+18	1.479e+17	-7.2103e+16	2.7334e+16	1.953e+44	5.2406e+43	
61829	4/23/2019 	09:21:32	44.7		0.00712	-0.97886	0.0039385	-1.2589e+25	3.1379e+24	-2.0395e+18	1.4521e+17	-6.9749e+16	2.6858e+16	1.8913e+44	5.1534e+43	
61830	4/23/2019 	09:22:30	44.5		0.00692	-0.98015	0.0038903	-1.2007e+25	3.0994e+24	-1.9149e+18	1.4345e+17	-5.8591e+16	2.6408e+16	1.9217e+44	5.097e+43	
61831	4/23/2019 	09:23:28	44.4		0.0069035	-0.97988	0.0038803	-1.2943e+25	3.0947e+24	-1.9177e+18	1.4313e+17	-6.5189e+16	2.644e+16	1.8553e+44	5.1006e+43	
61832	4/23/2019 	09:24:25	44.3		0.0069726	-0.98009	0.0039028	-1.2588e+25	3.1114e+24	-1.9015e+18	1.4354e+17	-5.9532e+16	2.6539e+16	1.9305e+44	5.1246e+43	
61833	4/23/2019 	09:25:22	44.2		0.0065051	-0.98032	0.0037692	-1.168e+25	3.0024e+24	-1.9081e+18	1.3904e+17	-6.0944e+16	2.5626e+16	1.8743e+44	4.9454e+43	
61834	4/23/2019 	09:26:17	44.1		0.0067257	-0.97909	0.0038293	-1.164e+25	3.0536e+24	-1.7764e+18	1.4118e+17	-6.276e+16	2.6099e+16	2.0177e+44	5.0196e+43	
