Amplitude ( ADC Kanal) -  (Histogram)	Counts -  (Histogram)
0	0
1	0
2	0
3	0
4	1
5	1
6	2
7	2
8	4
9	5
10	7
11	10
12	12
13	14
14	20
15	24
16	34
17	43
18	55
19	63
20	74
21	77
22	80
23	86
24	93
25	95
26	100
27	107
28	116
29	128
30	145
31	186
32	343
33	629
34	1100
35	1805
36	2711
37	3661
38	4570
39	5261
40	5673
41	5815
42	5770
43	5530
44	5276
45	4998
46	4731
47	4405
48	4133
49	3901
50	3696
51	3517
52	3417
53	3363
54	3284
55	3259
56	3226
57	3178
58	3135
59	3113
60	3076
61	3048
62	3030
63	3013
64	3002
65	2999
66	2981
67	2992
68	2998
69	2984
70	2963
71	2970
72	2952
73	2915
74	2876
75	2847
76	2786
77	2714
78	2678
79	2658
80	2614
81	2598
82	2592
83	2552
84	2520
85	2506
86	2486
87	2465
88	2480
89	2452
90	2446
91	2407
92	2383
93	2330
94	2311
95	2261
96	2241
97	2203
98	2166
99	2151
100	2139
101	2134
102	2120
103	2104
104	2082
105	2073
106	2036
107	1985
108	1974
109	1961
110	1939
111	1951
112	1969
113	1943
114	1915
115	1878
116	1818
117	1782
118	1754
119	1713
120	1689
121	1673
122	1652
123	1622
124	1585
125	1556
126	1535
127	1502
128	1497
129	1496
130	1470
131	1432
132	1411
133	1376
134	1352
135	1338
136	1342
137	1332
138	1338
139	1329
140	1310
141	1278
142	1262
143	1241
144	1231
145	1219
146	1216
147	1194
148	1174
149	1160
150	1139
151	1103
152	1078
153	1042
154	1019
155	998
156	992
157	1004
158	1013
159	995
160	994
161	993
162	992
163	988
164	982
165	986
166	974
167	963
168	966
169	969
170	952
171	946
172	932
173	907
174	899
175	891
176	875
177	855
178	854
179	846
180	830
181	830
182	833
183	811
184	796
185	793
186	778
187	775
188	772
189	770
190	753
191	745
192	727
193	728
194	717
195	716
196	712
197	708
198	689
199	683
200	679
201	678
202	677
203	671
204	660
205	657
206	655
207	649
208	651
209	648
210	651
211	646
212	637
213	635
214	640
215	639
216	630
217	640
218	637
219	626
220	611
221	610
222	606
223	608
224	617
225	623
226	629
227	626
228	620
229	615
230	608
231	610
232	628
233	646
234	658
235	667
236	671
237	674
238	676
239	683
240	686
241	669
242	672
243	672
244	664
245	676
246	693
247	679
248	668
249	664
250	647
251	645
252	635
253	616
254	603
255	593
256	570
257	554
258	565
259	551
260	547
261	542
262	539
263	519
264	525
265	518
266	519
267	514
268	518
269	507
270	508
271	498
272	503
273	494
274	500
275	509
276	513
277	508
278	514
279	507
280	501
281	496
282	500
283	498
284	506
285	498
286	501
287	490
288	488
289	478
290	473
291	469
292	472
293	459
294	452
295	446
296	445
297	443
298	434
299	434
300	428
301	419
302	415
303	422
304	411
305	413
306	415
307	404
308	396
309	398
310	396
311	388
312	387
313	394
314	393
315	387
316	384
317	381
318	370
319	371
320	369
321	366
322	362
323	359
324	349
325	347
326	341
327	351
328	349
329	344
330	346
331	352
332	334
333	333
334	332
335	325
336	318
337	318
338	319
339	314
340	313
341	311
342	308
343	307
344	309
345	307
346	308
347	313
348	306
349	310
350	305
351	299
352	296
353	298
354	287
355	291
356	290
357	287
358	282
359	284
360	282
361	282
362	281
363	281
364	287
365	282
366	285
367	290
368	289
369	273
370	279
371	271
372	264
373	259
374	263
375	255
376	259
377	262
378	263
379	268
380	266
381	256
382	246
383	242
384	241
385	248
386	252
387	254
388	252
389	247
390	239
391	238
392	240
393	247
394	249
395	250
396	252
397	251
398	247
399	244
400	242
401	238
402	238
403	238
404	247
405	247
406	251
407	244
408	243
409	237
410	239
411	238
412	247
413	250
414	247
415	242
416	243
417	244
418	240
419	237
420	237
421	234
422	228
423	225
424	233
425	233
426	232
427	233
428	235
429	227
430	230
431	233
432	231
433	237
434	238
435	239
436	242
437	240
438	235
439	233
440	231
441	223
442	220
443	213
444	207
445	208
446	213
447	215
448	217
449	218
450	214
451	210
452	206
453	204
454	209
455	212
456	209
457	211
458	211
459	209
460	202
461	204
462	199
463	203
464	202
465	206
466	206
467	209
468	204
469	203
470	197
471	193
472	192
473	191
474	189
475	191
476	190
477	191
478	198
479	198
480	200
481	198
482	188
483	184
484	184
485	180
486	182
487	186
488	184
489	178
490	177
491	176
492	179
493	183
