Amplitude ( ADC Kanal) -  (Histogram)	Counts -  (Histogram)
0	0
1	0
2	0
3	0
4	0
5	0
6	2
7	8
8	26
9	62
10	108
11	163
12	217
13	250
14	251
15	230
16	193
17	150
18	112
19	90
20	77
21	76
22	78
23	87
24	100
25	122
26	138
27	156
28	171
29	186
30	211
31	344
32	698
33	1275
34	2078
35	3170
36	4608
37	6434
38	8687
39	11308
40	13920
41	16169
42	17473
43	17456
44	16129
45	13857
46	10991
47	8124
48	5704
49	3907
50	2723
51	2038
52	1682
53	1565
54	1538
55	1558
56	1609
57	1665
58	1686
59	1696
60	1686
61	1619
62	1546
63	1490
64	1446
65	1415
66	1417
67	1428
68	1460
69	1520
70	1565
71	1641
72	1739
73	1836
74	1899
75	1983
76	2028
77	2048
78	2070
79	2092
80	2087
81	2094
82	2097
83	2058
84	2022
85	1987
86	1938
87	1902
88	1870
89	1847
90	1803
91	1785
92	1735
93	1706
94	1658
95	1629
96	1569
97	1522
98	1464
99	1415
100	1364
101	1321
102	1286
103	1243
104	1211
105	1179
106	1134
107	1084
108	1051
109	1030
110	1005
111	1002
112	991
113	962
114	914
115	878
116	834
117	818
118	805
119	802
120	799
121	827
122	865
123	923
124	985
125	1070
126	1153
127	1219
128	1314
129	1421
130	1539
131	1646
132	1770
133	1886
134	2004
135	2121
136	2241
137	2355
138	2467
139	2567
140	2673
141	2779
142	2865
143	2958
144	3007
145	3025
146	3019
147	2984
148	2861
149	2764
150	2640
151	2496
152	2380
153	2327
154	2268
155	2279
156	2357
157	2467
158	2645
159	2868
160	3160
161	3503
162	3896
163	4279
164	4687
165	5055
166	5412
167	5716
168	5976
169	6180
170	6325
171	6377
172	6295
173	6174
174	6013
175	5768
176	5488
177	5214
178	4917
179	4561
180	4187
181	3825
182	3507
183	3155
184	2861
185	2604
186	2342
187	2127
188	1937
189	1748
190	1583
191	1435
192	1271
193	1145
194	1036
195	930
196	838
197	774
198	704
199	643
200	593
201	545
202	501
203	467
204	427
205	402
206	387
207	369
208	343
209	338
210	325
211	315
212	294
213	283
214	263
215	239
216	217
217	196
218	179
219	168
220	153
221	134
222	121
223	106
224	88
225	80
226	69
227	64
228	58
229	51
230	42
231	40
232	36
233	34
234	31
235	30
236	28
237	26
238	26
239	24
240	24
241	23
242	22
243	19
244	17
245	16
246	16
247	14
248	14
249	14
250	12
251	13
252	13
253	14
254	13
255	14
256	12
257	11
258	8
259	10
260	9
261	10
262	10
263	10
264	9
265	10
266	10
267	10
268	11
269	11
270	9
271	8
272	8
273	8
274	8
275	8
276	8
277	8
278	8
279	8
280	8
281	9
282	8
283	7
284	6
285	7
286	6
287	7
288	8
289	9
290	8
291	9
292	8
293	9
294	9
295	10
296	10
297	10
298	9
299	10
300	9
301	9
302	9
303	9
304	9
305	7
306	7
307	6
308	6
309	5
310	5
311	6
312	7
313	8
314	9
315	9
316	8
317	6
318	6
319	6
320	6
321	6
322	5
323	3
324	4
325	4
326	4
327	4
328	6
329	6
330	6
331	7
332	6
333	5
334	5
335	5
336	5
337	5
338	5
339	4
340	3
341	3
342	3
343	3
344	3
345	3
346	4
347	3
348	3
349	4
350	3
351	3
352	3
353	3
354	3
355	2
356	3
357	2
358	1
359	1
360	1
361	1
362	0
363	1
364	1
365	1
366	1
367	1
368	1
369	1
370	1
371	1
372	1
373	1
374	1
375	1
376	2
377	2
378	2
379	2
380	2
381	1
382	1
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	1
392	1
393	0
394	1
395	1
396	1
397	1
398	1
399	1
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	1
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	1
428	1
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	1
445	1
446	1
447	1
448	1
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	1
487	0
