Amplitude ( ADC Kanal) -  (Histogram)	Counts -  (Histogram)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	1
22	1
23	1
24	1
25	2
26	2
27	1
28	1
29	1
30	1
31	7
32	27
33	74
34	148
35	251
36	372
37	491
38	596
39	678
40	731
41	755
42	765
43	755
44	735
45	707
46	676
47	651
48	630
49	612
50	600
51	601
52	590
53	581
54	577
55	576
56	557
57	560
58	561
59	554
60	556
61	565
62	574
63	578
64	589
65	591
66	595
67	603
68	608
69	620
70	634
71	647
72	638
73	638
74	630
75	615
76	604
77	599
78	604
79	615
80	624
81	632
82	640
83	645
84	636
85	633
86	639
87	636
88	624
89	629
90	641
91	649
92	659
93	669
94	672
95	682
96	691
97	695
98	711
99	733
100	743
101	755
102	779
103	819
104	844
105	875
106	895
107	902
108	897
109	910
110	921
111	942
112	956
113	963
114	948
115	934
116	902
117	913
118	892
119	884
120	872
121	864
122	834
123	835
124	836
125	835
126	828
127	828
128	821
129	810
130	799
131	801
132	797
133	790
134	777
135	771
136	764
137	748
138	745
139	748
140	730
141	735
142	730
143	731
144	733
145	746
146	737
147	739
148	728
149	715
150	697
151	688
152	679
153	671
154	657
155	654
156	653
157	652
158	637
159	643
160	644
161	623
162	619
163	618
164	610
165	602
166	599
167	590
168	594
169	588
170	588
171	588
172	585
173	575
174	568
175	562
176	556
177	559
178	563
179	568
180	569
181	576
182	572
183	566
184	565
185	557
186	556
187	551
188	549
189	545
190	546
191	534
192	526
193	516
194	517
195	512
196	518
197	515
198	519
199	516
200	512
201	513
202	514
203	516
204	509
205	518
206	496
207	494
208	494
209	495
210	486
211	498
212	491
213	485
214	489
215	487
216	492
217	498
218	497
219	494
220	498
221	482
222	483
223	475
224	473
225	464
226	473
227	476
228	485
229	471
230	463
231	464
232	457
233	453
234	469
235	479
236	466
237	472
238	477
239	468
240	471
241	490
242	480
243	482
244	480
245	470
246	463
247	466
248	463
249	464
250	472
251	475
252	482
253	486
254	494
255	487
256	471
257	463
258	451
259	446
260	455
261	464
262	464
263	460
264	460
265	458
266	458
267	447
268	461
269	454
270	444
271	443
272	456
273	442
274	439
275	441
276	438
277	440
278	443
279	445
280	450
281	456
282	447
283	456
284	456
285	454
286	451
287	459
288	459
289	458
290	464
291	468
292	463
293	465
294	470
295	462
296	460
297	464
298	459
299	463
300	465
301	464
302	461
303	462
304	459
305	447
306	450
307	451
308	450
309	448
310	466
311	458
312	461
313	471
314	470
315	471
316	478
317	477
318	470
319	474
320	460
321	463
322	457
323	453
324	450
325	458
326	466
327	472
328	479
329	484
330	485
331	473
332	470
333	465
334	454
335	452
336	450
337	452
338	460
339	478
340	482
341	495
342	497
343	501
344	489
345	486
346	477
347	485
348	475
349	487
350	491
351	486
352	487
353	490
354	490
355	498
356	510
357	509
358	513
359	512
360	516
361	512
362	514
363	515
364	516
365	522
366	530
367	536
368	541
369	541
370	535
371	547
372	543
373	546
374	551
375	556
376	556
377	569
378	572
379	582
380	581
381	581
382	569
383	559
384	546
385	548
386	545
387	553
388	564
389	573
390	575
391	581
392	579
393	580
394	586
395	594
396	596
397	612
398	620
399	613
400	612
401	614
402	603
403	606
404	617
405	618
406	623
407	622
408	623
409	623
410	618
411	620
412	627
413	628
414	623
415	627
416	618
417	610
418	603
419	604
420	597
421	588
422	586
423	573
424	558
425	550
426	540
427	535
428	535
429	541
430	535
431	538
432	531
433	529
434	521
435	522
436	522
437	510
438	506
439	499
440	490
441	485
442	478
443	459
444	448
445	442
446	434
447	439
448	444
449	439
450	428
451	410
452	398
453	397
454	408
455	415
456	423
457	424
458	411
459	400
460	400
461	403
462	405
463	415
464	414
465	415
466	418
467	417
468	415
469	421
470	414
471	403
472	404
473	402
474	395
475	400
476	401
477	392
478	383
479	382
480	380
481	379
482	385
483	390
484	384
485	378
486	376
487	363
488	359
489	361
490	351
491	341
492	352
493	357
494	352
495	358
496	371
497	370
498	366
499	385
500	390
501	390
502	399
503	412
504	425
505	450
506	481
507	505
508	536
509	554
510	581
511	610
512	639
513	666
514	704
515	726
516	735
517	759
518	798
519	823
520	860
521	906
522	938
523	953
524	971
