Amplitude ( ADC Kanal) -  (Histogram)	Counts -  (Histogram)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	2
86	3
87	2
88	3
89	3
90	3
91	2
92	3
93	3
94	3
95	4
96	4
97	4
98	5
99	4
100	5
101	6
102	5
103	5
104	5
105	5
106	4
107	6
108	7
109	7
110	7
111	8
112	7
113	7
114	6
115	7
116	7
117	8
118	9
119	10
120	11
121	12
122	13
123	18
124	24
125	35
126	59
127	97
128	158
129	261
130	412
131	586
132	793
133	1024
134	1253
135	1447
136	1608
137	1749
138	1865
139	1920
140	1970
141	2016
142	2042
143	2045
144	2052
145	2041
146	2022
147	1997
148	1938
149	1914
150	1873
151	1836
152	1808
153	1802
154	1783
155	1779
156	1780
157	1790
158	1782
159	1777
160	1778
161	1775
162	1757
163	1773
164	1762
165	1744
166	1739
167	1717
168	1688
169	1689
170	1697
171	1689
172	1693
173	1699
174	1708
175	1711
176	1727
177	1739
178	1752
179	1743
180	1752
181	1738
182	1742
183	1744
184	1759
185	1760
186	1770
187	1771
188	1790
189	1770
190	1772
191	1764
192	1757
193	1758
194	1775
195	1776
196	1787
197	1793
198	1790
199	1797
200	1816
201	1830
202	1853
203	1852
204	1854
205	1839
206	1845
207	1824
208	1793
209	1781
210	1768
211	1714
212	1668
213	1643
214	1590
215	1519
216	1469
217	1412
218	1343
219	1270
220	1215
221	1150
222	1086
223	1035
224	969
225	903
226	860
227	806
228	749
229	707
230	666
231	618
232	599
233	568
234	549
235	528
236	501
237	477
238	460
239	444
240	426
241	424
242	411
243	398
244	389
245	379
246	367
247	355
248	342
249	330
250	319
251	311
252	297
253	297
254	288
255	281
256	277
257	280
258	272
259	267
260	264
261	255
262	245
263	242
264	242
265	238
266	230
267	233
268	230
269	231
270	234
271	248
272	256
273	270
274	282
275	307
276	321
277	353
278	391
279	436
280	483
281	561
282	642
283	744
284	868
285	1022
286	1182
287	1365
288	1590
289	1852
290	2125
291	2431
292	2780
293	3144
294	3487
295	3902
296	4318
297	4721
298	5079
299	5484
300	5827
301	6145
302	6461
303	6791
304	7013
305	7184
306	7438
307	7603
308	7664
309	7741
310	7826
311	7745
312	7630
313	7524
314	7367
315	7128
316	6866
317	6569
318	6220
319	5848
320	5490
321	5117
322	4734
323	4383
324	4044
325	3704
326	3389
327	3111
328	2833
329	2562
330	2313
331	2081
332	1898
333	1730
334	1594
335	1480
336	1372
337	1254
338	1177
339	1100
340	1025
341	966
342	921
343	858
344	817
345	766
346	722
347	694
348	659
349	636
350	616
351	597
352	568
353	552
354	530
355	509
356	482
357	454
358	432
359	407
360	391
361	371
362	352
363	338
364	319
365	294
366	278
367	268
368	244
369	225
370	206
371	190
372	167
373	151
374	132
375	115
376	102
377	92
378	79
379	74
380	67
381	57
382	48
383	44
384	37
385	33
386	30
387	28
388	25
389	22
390	20
391	19
392	18
393	17
394	17
395	17
396	15
397	14
398	14
399	14
400	13
401	14
402	13
403	11
404	11
405	10
406	11
407	11
408	12
409	12
410	12
411	12
412	13
413	14
414	13
415	13
416	14
417	14
418	13
419	14
420	13
421	13
422	12
423	13
424	14
425	14
426	12
427	11
428	11
429	9
430	9
431	10
432	11
433	10
434	10
435	10
436	10
437	9
438	9
439	9
440	9
441	9
442	8
443	8
444	9
445	9
446	9
447	9
448	8
449	8
450	8
451	7
452	7
453	7
454	6
455	6
456	7
457	7
458	7
459	6
460	7
461	6
462	7
463	8
464	8
465	7
466	6
467	6
468	5
469	5
470	5
471	5
472	5
473	6
474	7
475	8
476	9
477	9
478	8
479	8
480	6
481	6
482	6
483	6
484	7
485	8
486	8
487	8
