Amplitude ( ADC Kanal) -  (Histogram)	Counts -  (Histogram)
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	1
334	1
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	2
353	2
354	2
355	2
356	2
357	2
358	2
359	1
360	1
361	1
362	0
363	0
364	0
365	1
366	1
367	0
368	0
369	1
370	0
371	0
372	0
373	1
374	1
375	1
376	1
377	1
378	0
379	0
380	1
381	1
382	1
383	1
384	0
385	0
386	0
387	0
388	0
389	0
390	1
391	1
392	1
393	1
394	1
395	1
396	1
397	1
398	1
399	1
400	1
401	1
402	2
403	1
404	1
405	1
406	2
407	1
408	2
409	2
410	2
411	2
412	2
413	1
414	1
415	1
416	1
417	1
418	1
419	1
420	2
421	2
422	3
423	3
424	3
425	3
426	3
427	3
428	3
429	3
430	3
431	3
432	3
433	4
434	5
435	5
436	4
437	6
438	6
439	5
440	6
441	6
442	6
443	5
444	6
445	6
446	5
447	7
448	8
449	9
450	10
451	10
452	8
453	8
454	9
455	9
456	9
457	10
458	10
459	8
460	8
461	7
462	8
463	7
464	7
465	8
466	9
467	9
468	10
469	11
470	10
471	9
472	10
473	9
474	8
475	9
476	10
477	10
478	10
479	10
480	9
481	9
482	9
483	9
484	9
485	10
486	9
487	9
488	9
489	10
490	9
491	9
492	8
493	9
494	6
495	6
496	6
497	6
498	6
499	6
500	7
501	8
502	9
503	10
504	9
505	8
506	8
507	6
508	6
509	6
510	5
511	4
512	4
513	4
514	4
515	4
516	5
517	5
518	5
519	5
520	5
521	4
522	4
523	3
524	4
525	3
526	4
527	3
528	4
529	4
530	5
531	4
532	4
533	4
534	4
535	3
536	2
537	2
538	2
539	1
540	2
541	3
542	3
543	3
544	4
545	4
546	2
547	3
548	3
549	2
550	2
551	2
552	3
553	3
554	3
555	4
556	4
557	3
558	3
559	3
560	2
561	2
562	2
563	2
564	1
565	1
566	1
567	2
568	2
569	2
570	3
571	3
572	3
573	3
574	3
575	2
576	3
577	3
578	3
579	3
580	2
581	2
582	2
583	1
584	1
585	1
586	2
587	1
588	2
589	1
590	2
591	2
592	2
593	2
594	2
595	2
596	2
597	1
598	1
599	1
600	1
601	1
602	1
603	2
604	1
605	1
606	1
607	1
608	1
609	1
610	1
611	2
612	2
613	2
614	1
615	2
616	2
617	2
618	2
619	2
620	2
621	2
622	2
623	1
624	1
625	2
626	2
627	1
628	2
629	2
630	2
631	2
632	2
633	1
634	1
635	2
636	2
637	2
638	2
639	2
640	1
641	1
642	1
643	1
644	1
645	1
646	1
647	1
648	1
649	1
650	1
651	1
652	1
653	2
654	2
655	2
656	2
657	1
658	1
659	1
660	1
661	2
662	2
663	2
664	2
665	2
666	2
667	2
668	2
669	2
670	2
671	2
672	2
673	1
674	1
675	1
676	1
677	1
678	1
679	1
680	1
681	1
682	0
683	0
684	1
685	1
686	1
687	1
688	1
689	1
690	1
691	1
692	2
693	2
694	2
695	2
696	2
697	2
698	2
699	1
700	1
701	1
702	0
703	0
704	0
705	1
706	1
707	2
708	2
709	2
710	2
711	1
712	1
713	1
714	1
715	1
716	1
717	1
718	1
719	1
720	2
721	1
722	2
723	2
724	2
725	1
726	1
727	1
728	1
729	1
730	1
731	2
732	2
733	2
734	2
735	2
736	1
737	0
738	0
739	1
740	1
741	1
742	1
743	1
744	1
745	0
746	1
747	1
748	1
749	0
750	0
751	0
752	0
753	1
754	1
755	1
756	1
757	1
758	1
759	1
760	1
761	1
762	1
763	1
764	2
765	2
766	1
767	2
768	1
769	1
770	1
771	1
772	1
773	2
774	2
775	2
776	2
777	2
778	2
779	1
780	1
781	1
782	1
783	1
784	1
785	2
786	2
787	1
788	1
789	1
790	0
791	0
792	0
793	0
794	0
795	1
796	1
797	1
798	1
799	1
800	0
801	0
802	0
803	1
804	1
805	1
806	1
807	1
808	1
809	1
810	1
811	1
812	1
813	1
814	1
815	1
816	1
817	1
818	0
819	0
820	0
821	0
822	0
823	1
824	1
825	1
826	1
827	1
828	1
829	1
830	1
831	1
832	1
833	0
834	0
835	0
836	1
837	1
838	1
839	1
840	1
841	1
842	1
843	1
844	1
845	1
846	1
847	1
848	1
849	1
850	1
851	0
852	0
853	0
854	0
855	0
856	0
857	0
858	0
859	0
860	0
861	1
862	1
863	1
864	1
865	1
866	1
867	1
868	1
869	1
870	1
871	1
872	1
873	0
874	0
875	0
876	0
877	0
878	1
879	1
880	1
881	1
882	2
883	2
884	1
885	1
886	1
887	0
888	1
889	1
890	1
891	1
892	1
893	1
894	1
895	1
896	1
897	1
898	0
899	1
900	1
901	1
902	1
903	1
904	1
905	1
906	1
907	1
908	1
909	0
910	0
911	0
912	0
913	1
914	1
915	1
916	1
917	1
918	0
919	0
920	1
921	1
922	0
923	1
924	1
925	1
926	1
927	2
928	2
929	1
930	1
931	1
932	0
933	1
934	1
935	1
936	1
937	1
938	1
939	1
940	1
941	0
942	0
943	0
944	0
945	0
946	0
947	0
948	0
949	1
950	1
951	1
952	1
953	1
954	1
955	1
956	1
957	1
958	1
959	1
960	1
961	1
962	1
963	1
964	1
965	0
966	1
967	1
968	1
969	1
970	1
971	1
972	1
973	1
974	1
975	1
976	0
977	0
978	0
979	1
980	1
981	1
982	1
983	1
984	1
985	1
986	1
987	1
988	1
989	1
990	2
991	2
992	2
993	2
994	1
995	1
996	1
997	1
998	1
999	1
1000	1
1001	1
1002	1
1003	1
1004	1
1005	1
1006	1
1007	1
1008	0
1009	1
1010	0
1011	0
1012	1
1013	1
1014	0
1015	0
1016	0
1017	0
1018	0
1019	0
1020	0
1021	0
1022	0
1023	0
1024	1
1025	1
1026	1
1027	1
1028	1
1029	1
1030	1
1031	1
1032	1
1033	1
1034	1
1035	1
1036	1
1037	1
1038	1
1039	1
1040	1
1041	1
1042	1
1043	1
1044	1
1045	1
1046	1
1047	1
1048	0
1049	1
1050	0
1051	0
1052	0
1053	1
1054	1
1055	1
1056	2
1057	2
1058	1
1059	2
1060	2
1061	1
1062	1
1063	1
1064	1
1065	1
1066	1
1067	1
1068	1
1069	1
1070	1
1071	1
1072	1
1073	1
1074	1
1075	0
1076	0
1077	1
1078	1
1079	1
1080	1
1081	2
1082	1
1083	1
1084	1
1085	1
1086	0
1087	0
1088	0
1089	1
1090	1
1091	1
1092	1
1093	0
1094	0
1095	0
1096	1
1097	0
1098	0
1099	1
1100	1
1101	0
1102	1
1103	1
1104	1
1105	0
1106	1
1107	0
1108	1
1109	1
1110	1
1111	1
1112	1
1113	0
1114	1
1115	0
1116	1
1117	1
1118	1
1119	1
1120	1
1121	1
1122	1
1123	0
1124	0
1125	1
1126	1
1127	0
1128	0
1129	1
1130	0
1131	0
1132	0
1133	1
1134	0
1135	0
1136	1
1137	2
1138	1
1139	2
1140	2
1141	1
1142	1
1143	1
1144	0
1145	1
1146	1
1147	0
1148	0
1149	1
1150	1
1151	1
1152	1
1153	1
1154	1
1155	1
1156	1
1157	1
1158	1
1159	0
1160	0
1161	1
1162	1
1163	2
1164	2
1165	2
1166	2
1167	1
1168	0
1169	0
1170	0
1171	0
1172	0
1173	1
1174	1
1175	1
1176	1
1177	1
1178	1
1179	1
1180	1
1181	1
1182	1
1183	1
1184	1
1185	1
1186	1
1187	1
1188	1
1189	1
1190	1
1191	1
1192	0
1193	1
1194	1
1195	1
1196	1
1197	1
1198	1
1199	1
1200	1
1201	1
1202	1
1203	1
1204	1
1205	1
1206	1
1207	1
1208	1
1209	0
1210	0
1211	0
1212	1
1213	1
1214	1
1215	1
1216	1
