Amplitude ( ADC Kanal) -  (Histogram)	Counts -  (Histogram)
20	34
21	29
22	27
23	28
24	29
25	33
26	42
27	54
28	69
29	83
30	98
31	106
32	103
33	92
34	79
35	63
36	49
37	41
38	35
39	30
40	25
41	24
42	23
43	21
44	23
45	21
46	23
47	22
48	24
49	22
50	25
51	21
52	21
53	20
54	20
55	17
56	17
57	17
58	19
59	18
60	21
61	21
62	21
63	20
64	23
65	21
66	21
67	21
68	22
69	19
70	22
71	21
72	20
73	20
74	19
75	17
76	17
77	17
78	14
79	15
80	15
81	16
82	15
83	15
84	13
85	13
86	13
87	14
88	16
89	17
90	16
91	14
92	14
93	14
94	14
95	13
96	13
97	12
98	11
99	10
100	11
101	12
102	13
103	15
104	16
105	16
106	17
107	15
108	17
109	16
110	16
111	15
112	17
113	13
114	14
115	15
116	15
117	14
118	14
119	14
120	14
121	13
122	12
123	15
124	16
125	16
126	14
127	14
128	11
129	10
130	11
131	12
132	14
133	15
134	14
135	12
136	13
137	13
138	14
139	15
140	16
141	16
142	15
143	16
144	16
145	18
146	18
147	19
148	20
149	22
150	21
151	21
152	22
153	22
154	22
155	23
156	25
157	23
158	25
159	25
160	24
161	22
162	25
163	23
164	24
165	24
166	22
167	19
168	18
169	17
170	15
171	15
172	17
173	17
174	16
175	17
176	17
177	15
178	14
179	14
180	15
181	15
182	14
183	14
184	13
185	13
186	11
187	12
188	14
189	14
190	14
191	14
192	16
193	13
194	13
195	13
196	13
197	12
198	12
199	12
200	10
201	10
202	9
203	11
204	11
205	12
206	12
207	12
208	12
209	11
210	11
211	10
212	11
213	11
214	10
215	10
216	10
217	9
218	9
219	9
220	9
221	9
222	10
223	11
224	11
225	10
226	11
227	12
228	11
229	12
230	14
231	12
232	12
233	12
234	11
235	9
236	10
237	10
238	10
239	9
240	9
241	10
242	10
243	9
244	9
245	9
246	8
247	10
248	9
249	10
250	11
251	12
252	11
253	12
254	11
255	11
256	13
257	12
258	12
259	13
260	13
261	11
262	11
263	10
264	8
265	8
266	8
267	8
268	8
269	8
270	8
271	8
272	9
273	10
274	10
275	10
276	10
277	9
278	9
279	10
280	10
281	10
282	9
283	10
284	10
285	11
286	12
287	13
288	12
289	12
290	12
291	11
292	10
293	9
294	9
295	8
296	8
297	8
298	9
299	9
300	9
301	9
302	9
303	9
304	8
305	8
306	8
307	9
308	9
309	9
310	11
311	11
312	11
313	10
314	10
315	9
316	9
317	9
318	10
319	10
320	10
321	11
322	10
323	12
324	11
325	11
326	11
327	11
328	10
329	12
330	13
331	12
332	12
333	12
334	9
335	9
336	10
337	10
338	9
339	11
340	10
341	10
342	10
343	12
344	11
345	12
346	12
347	11
348	11
349	11
350	11
351	12
352	14
353	14
354	15
355	15
356	15
357	14
358	14
359	14
360	16
361	16
362	16
363	16
364	15
365	13
366	13
367	12
368	12
369	12
370	10
371	11
372	10
373	10
374	11
375	12
376	11
377	12
378	12
379	11
380	10
381	9
382	6
383	5
384	4
385	4
386	4
387	4
388	4
389	5
390	4
391	4
392	4
393	4
394	4
395	4
396	4
397	4
398	3
399	4
400	4
401	4
402	4
403	4
404	5
405	4
406	4
407	4
408	3
409	2
410	2
411	1
412	1
413	1
414	1
415	1
416	2
417	2
418	3
419	2
420	2
421	2
422	1
423	1
424	2
425	3
426	2
427	2
428	2
429	1
430	1
431	2
432	2
433	2
434	2
435	2
436	2
437	1
438	1
439	1
440	0
441	1
442	1
443	1
444	1
445	2
446	2
447	2
448	2
449	2
450	1
451	1
452	1
453	1
454	1
455	2
456	2
457	2
458	2
459	2
460	2
461	2
462	1
463	2
464	2
465	2
466	1
467	2
468	3
469	3
470	3
471	3
472	3
473	3
474	3
475	3
476	4
477	4
478	4
479	4
480	4
481	4
482	5
483	6
484	7
485	7
486	7
487	9
488	9
489	10
490	10
491	11
492	11
493	13
494	14
495	15
496	15
497	15
498	15
499	15
500	17
501	20
502	22
503	23
504	22
505	22
506	20
507	20
508	20
509	24
510	25
511	27
512	27
513	28
514	27
515	29
516	30
517	33
518	32
519	32
520	30
521	32
522	30
523	31
524	33
525	35
526	35
527	37
528	38
529	37
530	36
531	35
532	33
533	33
534	31
535	30
536	30
537	31
538	29
539	29
540	28
541	27
542	26
543	26
544	24
545	25
546	23
547	21
548	20
549	21
550	18
551	17
552	17
553	16
554	15
555	15
556	16
557	14
558	13
559	12
560	12
561	11
562	11
563	10
564	9
565	8
566	9
567	8
568	9
569	12
570	11
571	11
572	11
573	11
574	10
575	9
576	9
577	8
578	7
579	6
580	6
581	5
582	5
583	4
584	4
585	4
586	4
587	3
588	4
589	4
590	4
591	4
592	4
593	3
594	3
595	2
596	2
597	2
598	2
599	2
600	2
601	2
602	1
603	1
604	1
605	1
606	1
607	1
608	1
609	2
610	1
611	1
612	1
613	1
614	1
615	1
616	1
617	1
618	1
619	1
620	1
621	1
622	1
623	1
624	1
625	1
626	1
627	1
628	0
629	0
630	1
631	1
632	0
633	0
634	0
635	0
636	0
637	0
638	0
639	0
640	0
641	0
642	0
643	0
644	0
645	0
646	0
647	0
648	0
649	0
650	0
