Amplitude ( ADC Kanal) -  (Histogram)	Counts -  (Histogram)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	1
32	10
33	28
34	50
35	82
36	118
37	155
38	181
39	206
40	220
41	225
42	225
43	222
44	213
45	211
46	206
47	190
48	190
49	184
50	174
51	170
52	174
53	170
54	175
55	175
56	176
57	175
58	178
59	180
60	192
61	200
62	206
63	201
64	197
65	187
66	181
67	179
68	183
69	183
70	184
71	188
72	190
73	192
74	198
75	195
76	194
77	188
78	186
79	182
80	187
81	182
82	184
83	183
84	179
85	177
86	180
87	181
88	183
89	192
90	204
91	209
92	209
93	217
94	218
95	220
96	224
97	235
98	240
99	249
100	252
101	266
102	277
103	278
104	286
105	284
106	274
107	265
108	263
109	254
110	251
111	254
112	253
113	245
114	238
115	234
116	227
117	229
118	230
119	231
120	230
121	228
122	223
123	222
124	216
125	217
126	211
127	210
128	205
129	207
130	210
131	216
132	213
133	216
134	221
135	215
136	209
137	208
138	211
139	201
140	200
141	206
142	206
143	206
144	207
145	202
146	190
147	185
148	179
149	174
150	170
151	171
152	172
153	166
154	169
155	171
156	169
157	170
158	176
159	172
160	172
161	172
162	167
163	159
164	154
165	152
166	153
167	154
168	153
169	157
170	156
171	152
172	155
173	155
174	157
175	162
176	166
177	166
178	161
179	163
180	158
181	159
182	158
183	162
184	157
185	157
186	154
187	152
188	150
189	152
190	150
191	152
192	151
193	149
194	145
195	142
196	138
197	141
198	139
199	143
200	149
201	150
202	146
203	148
204	148
205	139
206	139
207	141
208	141
209	138
210	148
211	147
212	149
213	154
214	155
215	150
216	152
217	147
218	140
219	140
220	136
221	137
222	138
223	138
224	136
225	141
226	138
227	141
228	145
229	148
230	147
231	146
232	141
233	140
234	139
235	139
236	145
237	146
238	146
239	148
240	147
241	143
242	149
243	151
244	148
245	147
246	152
247	148
248	150
249	153
250	154
251	153
252	155
253	155
254	156
255	159
256	155
257	159
258	155
259	153
260	156
261	164
262	163
263	167
264	170
265	167
266	171
267	171
268	172
269	171
270	177
271	170
272	171
273	165
274	165
275	165
276	165
277	163
278	160
279	160
280	154
281	151
282	148
283	155
284	150
285	148
286	143
287	136
288	126
289	119
290	112
291	107
292	105
293	102
294	100
295	93
296	89
297	82
298	76
299	72
300	67
301	66
302	61
303	58
304	57
305	54
306	51
307	51
308	48
309	43
310	43
311	39
312	38
313	38
314	38
315	38
316	38
317	34
318	33
319	32
320	29
321	29
322	28
323	28
324	25
325	25
326	23
327	23
328	21
329	20
330	19
331	20
332	20
333	19
334	19
335	21
336	19
337	20
338	20
339	20
340	20
341	21
342	19
343	18
344	19
345	18
346	18
347	20
348	22
349	24
350	28
351	34
352	36
353	42
354	48
355	52
356	58
357	66
358	75
359	84
360	96
361	114
362	126
363	150
364	167
365	188
366	202
367	227
368	245
369	271
370	297
371	331
372	366
373	390
374	416
375	441
376	458
377	482
378	510
379	537
380	554
381	574
382	578
383	565
384	558
385	558
386	561
387	559
388	576
389	575
390	579
391	564
392	542
393	510
394	494
395	469
396	447
397	428
398	407
399	383
400	351
401	318
402	305
403	285
404	261
405	249
406	232
407	208
408	193
409	178
410	158
411	148
412	138
413	129
414	120
415	110
416	102
417	95
418	91
419	83
420	79
421	76
422	72
423	68
424	67
425	65
426	61
427	58
428	59
429	56
430	54
431	57
432	54
433	51
434	50
435	48
436	42
437	44
438	43
439	39
440	38
441	36
442	34
443	31
444	32
445	33
446	33
447	32
448	32
449	30
450	28
451	26
452	25
453	24
454	21
455	21
456	21
457	18
458	17
459	16
460	14
461	13
462	12
463	11
464	11
465	10
466	9
467	9
468	8
469	7
470	6
471	5
472	5
473	5
474	4
475	4
476	4
477	3
478	3
479	3
480	2
481	2
482	2
483	1
484	0
485	1
486	0
487	1
488	1
489	1
490	1
491	2
492	2
493	2
494	2
495	2
496	2
497	2
498	2
499	2
500	1
501	2
502	1
503	1
504	1
505	1
506	1
507	1
508	1
509	1
510	1
511	1
512	1
513	1
514	1
515	1
516	1
517	1
518	1
519	1
520	1
521	1
522	1
523	2
524	2
