Amplitude ( ADC Kanal) -  (Histogram)	Counts -  (Histogram)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	3
32	16
33	52
34	95
35	151
36	215
37	285
38	333
39	384
40	420
41	436
42	435
43	430
44	422
45	404
46	392
47	387
48	376
49	356
50	350
51	343
52	341
53	344
54	345
55	344
56	337
57	339
58	327
59	328
60	330
61	342
62	337
63	344
64	356
65	358
66	356
67	351
68	356
69	349
70	347
71	357
72	368
73	369
74	375
75	379
76	379
77	378
78	387
79	391
80	391
81	389
82	402
83	408
84	419
85	436
86	458
87	477
88	494
89	505
90	523
91	525
92	530
93	526
94	529
95	519
96	523
97	516
98	509
99	499
100	496
101	484
102	485
103	491
104	490
105	493
106	500
107	493
108	477
109	484
110	478
111	474
112	471
113	466
114	455
115	439
116	436
117	431
118	440
119	434
120	445
121	445
122	440
123	442
124	445
125	436
126	424
127	415
128	398
129	392
130	395
131	383
132	387
133	385
134	378
135	378
136	383
137	380
138	391
139	393
140	387
141	403
142	408
143	409
144	407
145	407
146	392
147	388
148	373
149	374
150	358
151	352
152	349
153	339
154	328
155	319
156	305
157	286
158	278
159	264
160	250
161	236
162	220
163	208
164	196
165	192
166	183
167	178
168	166
169	167
170	157
171	151
172	149
173	147
174	140
175	144
176	146
177	141
178	139
179	135
180	131
181	128
182	125
183	122
184	118
185	113
186	113
187	112
188	109
189	110
190	108
191	104
192	103
193	103
194	102
195	103
196	101
197	101
198	96
199	92
200	93
201	89
202	88
203	94
204	91
205	89
206	90
207	89
208	87
209	94
210	94
211	96
212	99
213	106
214	105
215	118
216	131
217	142
218	164
219	192
220	215
221	248
222	292
223	341
224	396
225	467
226	526
227	594
228	672
229	750
230	827
231	918
232	999
233	1073
234	1163
235	1249
236	1328
237	1416
238	1488
239	1531
240	1557
241	1568
242	1564
243	1555
244	1532
245	1493
246	1438
247	1377
248	1302
249	1221
250	1147
251	1072
252	980
253	887
254	807
255	719
256	648
257	586
258	519
259	464
260	414
261	367
262	322
263	297
264	268
265	251
266	239
267	225
268	213
269	200
270	190
271	173
272	164
273	157
274	147
275	141
276	143
277	135
278	133
279	130
280	127
281	119
282	121
283	117
284	112
285	109
286	101
287	97
288	91
289	88
290	84
291	79
292	76
293	73
294	67
295	62
296	61
297	57
298	56
299	56
300	54
301	52
302	53
303	53
304	51
305	52
306	55
307	52
308	51
309	52
310	49
311	47
312	48
313	47
314	46
315	49
316	52
317	51
318	52
319	53
320	50
321	48
322	51
323	55
324	56
325	59
326	58
327	57
328	52
329	52
330	50
331	53
332	52
333	55
334	57
335	56
336	53
337	54
338	53
339	51
340	51
341	54
342	56
343	57
344	55
345	55
346	53
347	51
348	52
349	56
350	59
351	59
352	57
353	58
354	56
355	56
356	55
357	58
358	53
359	55
360	54
361	55
362	53
363	56
364	56
365	56
366	58
367	59
368	60
369	60
370	60
371	62
372	61
373	59
374	57
375	57
376	52
377	54
378	52
379	53
380	52
381	54
382	54
383	55
384	59
385	60
386	60
387	60
388	61
389	60
390	62
391	62
392	61
393	63
394	57
395	55
396	53
397	52
398	49
399	53
400	56
401	58
402	58
403	59
404	58
405	56
406	57
407	58
408	59
409	57
410	56
411	55
412	57
413	59
414	63
415	65
416	66
417	67
418	70
419	67
420	69
421	69
422	66
423	63
424	65
425	63
426	64
427	65
428	67
429	66
430	66
431	68
432	71
433	68
434	69
435	69
436	66
437	67
438	69
439	71
440	73
441	75
442	72
443	74
444	74
445	74
446	75
447	76
448	74
449	74
450	75
451	71
452	70
453	71
454	70
455	68
456	69
457	66
458	65
459	65
460	65
461	65
462	66
463	65
464	62
465	60
466	58
467	55
468	55
469	56
470	55
471	52
472	50
473	48
474	44
475	41
476	42
477	42
478	41
479	40
480	41
481	35
482	33
483	32
484	32
485	33
486	35
487	33
488	31
489	30
490	27
491	26
492	25
493	25
494	24
495	22
496	23
497	25
498	23
499	23
500	24
501	21
502	19
503	19
504	18
505	18
506	18
507	17
508	18
509	18
510	17
511	16
512	17
513	17
514	16
515	16
516	15
517	15
518	14
519	12
