Amplitude ( ADC Kanal) -  (Histogram)	Counts -  (Histogram)
30	83
31	89
32	94
33	93
34	82
35	70
36	59
37	49
38	37
39	30
40	27
41	24
42	22
43	23
44	22
45	21
46	21
47	20
48	20
49	19
50	20
51	17
52	16
53	19
54	20
55	19
56	20
57	21
58	17
59	17
60	17
61	18
62	18
63	19
64	20
65	21
66	20
67	19
68	18
69	18
70	17
71	17
72	16
73	19
74	18
75	18
76	18
77	17
78	15
79	15
80	14
81	13
82	12
83	13
84	13
85	14
86	15
87	16
88	15
89	14
90	14
91	12
92	13
93	14
94	12
95	12
96	13
97	12
98	11
99	12
100	13
101	13
102	13
103	13
104	11
105	11
106	10
107	10
108	9
109	11
110	10
111	10
112	11
113	11
114	8
115	8
116	7
117	9
118	9
119	9
120	11
121	11
122	9
123	10
124	11
125	10
126	10
127	11
128	12
129	11
130	11
131	10
132	10
133	8
134	9
135	9
136	9
137	12
138	12
139	11
140	11
141	12
142	10
143	9
144	10
145	11
146	10
147	11
148	12
149	10
150	9
151	10
152	9
153	11
154	12
155	13
156	14
157	15
158	15
159	14
160	13
161	13
162	14
163	13
164	14
165	15
166	15
167	15
168	15
169	15
170	14
171	14
172	14
173	16
174	14
175	14
176	13
177	11
178	11
179	12
180	13
181	13
182	13
183	13
184	10
185	11
186	10
187	10
188	9
189	10
190	11
191	12
192	13
193	12
194	13
195	12
196	10
197	11
198	11
199	10
200	10
201	12
202	11
203	11
204	11
205	11
206	9
207	10
208	11
209	13
210	12
211	12
212	11
213	10
214	9
215	9
216	8
217	8
218	9
219	8
220	7
221	8
222	9
223	9
224	8
225	8
226	9
227	8
228	8
229	9
230	10
231	10
232	10
233	10
234	9
235	11
236	11
237	12
238	12
239	12
240	10
241	10
242	9
243	9
244	9
245	10
246	11
247	10
248	9
249	10
250	10
251	9
252	9
253	10
254	9
255	10
256	10
257	10
258	11
259	11
260	10
261	10
262	9
263	8
264	8
265	10
266	10
267	11
268	12
269	13
270	11
271	10
272	9
273	8
274	8
275	8
276	9
277	9
278	8
279	7
280	7
281	8
282	7
283	8
284	9
285	9
286	9
287	9
288	9
289	9
290	9
291	7
292	7
293	8
294	7
295	7
296	9
297	10
298	9
299	10
300	8
301	9
302	7
303	8
304	8
305	8
306	9
307	11
308	9
309	8
310	10
311	8
312	8
313	9
314	9
315	9
316	8
317	8
318	9
319	9
320	8
321	8
322	7
323	8
324	8
325	7
326	7
327	7
328	7
329	8
330	8
331	8
332	8
333	8
334	9
335	8
336	8
337	8
338	8
339	8
340	10
341	9
342	9
343	8
344	7
345	7
346	7
347	7
348	6
349	7
350	7
351	8
352	8
353	9
354	8
355	9
356	8
357	8
358	7
359	8
360	9
361	8
362	9
363	9
364	9
365	8
366	9
367	8
368	9
369	8
370	8
371	7
372	7
373	7
374	6
375	6
376	5
377	6
378	5
379	5
380	5
381	6
382	5
383	5
384	5
385	5
386	4
387	4
388	4
389	4
390	4
391	5
392	4
393	4
394	4
395	4
396	3
397	4
398	3
399	3
400	3
401	3
402	3
403	3
404	4
405	3
406	3
407	4
408	5
409	4
410	4
411	3
412	3
413	2
414	3
415	3
416	3
417	2
418	3
419	2
420	2
421	3
422	2
423	2
424	2
425	2
426	2
427	2
428	2
429	2
430	2
431	2
432	1
433	1
434	1
435	1
436	1
437	2
438	2
439	1
440	1
441	0
442	0
443	0
444	0
445	0
446	1
447	1
448	1
449	2
450	3
451	2
452	2
453	2
454	2
455	1
456	1
457	1
458	1
459	1
460	1
461	2
462	2
463	2
464	2
465	2
466	1
467	1
468	1
469	1
470	1
471	1
472	1
473	1
474	1
475	1
476	1
477	1
478	2
479	2
480	2
481	2
482	2
483	2
484	2
485	2
486	3
487	2
488	3
489	3
490	3
491	3
492	3
493	4
494	4
495	4
496	4
497	3
498	3
499	3
500	4
501	7
502	8
503	10
504	11
505	11
506	10
507	11
508	11
509	14
510	14
511	16
512	16
513	16
514	16
515	18
516	19
517	19
518	19
519	20
520	21
521	22
522	25
523	29
524	28
525	30
526	30
527	29
528	28
529	30
530	29
531	27
532	30
533	29
534	30
535	31
536	35
537	34
538	34
539	32
540	31
541	30
542	29
543	28
544	28
545	28
546	29
547	30
548	30
549	30
550	29
551	26
552	24
553	24
554	23
555	25
556	24
557	24
558	23
559	21
560	18
561	18
562	17
563	16
564	16
565	15
566	16
567	18
568	18
569	18
570	18
571	18
572	15
573	14
574	12
575	11
576	10
577	10
578	10
579	12
580	12
581	11
582	11
583	10
584	8
585	8
586	9
587	9
588	9
589	8
590	7
591	6
592	6
593	5
594	4
595	4
596	4
597	4
598	4
599	4
600	5
601	4
602	3
603	4
604	4
605	3
606	4
607	4
608	3
609	3
610	2
611	1
612	1
613	2
614	2
615	2
616	2
617	2
618	1
619	1
620	1
621	1
622	0
623	1
624	1
625	1
626	1
627	1
628	1
629	1
630	1
631	1
632	0
633	0
634	0
635	0
636	0
637	0
638	0
639	0
640	0
641	0
642	0
643	0
644	0
645	0
646	0
647	0
648	0
649	0
650	0
