MI OptTime H 
-0.499085 63.7824 50 
-0.499085 64.1917 50 
-0.499084 66.1164 50 
-0.50576 98.6873 50 
-0.513942 107.723 80 
-0.50865 151.964 50 
-0.504396 152.19 50 
-0.823824 65.1478 50 
-0.993762 83.3289 50 
-0.769821 54.9776 50 
-0.674686 65.108 50 
-0.964114 99.1119 50 
-0.503635 178.662 50 
-0.636476 56.428 50 
-0.636943 112.005 50 
-0.638516 183.07 50 
-0.630015 140.747 50 
-0.638662 155.12 50 
-0.631136 176.957 50 
-0.63005 170.039 50 
-0.640389 238.297 50 
-0.635866 236.553 50 
-0.749125 192.703 50 
-0.653236 177.634 50 
-0.634544 156.11 50 
-0.65343 156.192 50 
-0.653322 244.941 50 
-0.65298 79.4563 50 
-0.654349 73.6875 50 
-0.654433 132.552 50 
-0.687412 167.94 100 
-0.686862 169.774 100 
-0.637212 162.463 50 
-0.637563 107.828 50 
-0.653237 185.987 50 
-0.653761 253.425 50 
-0.654342 87.0942 50 
-0.654638 80.1832 50 
-0.65433 136.005 50 
-0.652556 200.384 50 
-0.648215 41.8634 50 
-0.649245 109.415 50 
-0.654143 98.8251 50 
-0.549097 153.106 50 
-0.555081 155.404 50 
-0.612517 144.981 50 
-0.632252 140.851 50 
-0.549096 161.132 50 
-0.555081 154.435 50 
-0.612509 149.478 50 
-0.612519 145.34 50 
