0F 	Amp.mittel 	Amp.std 	Amp.var 	Phi-mittel 	Phi-std 	Phi-var
2490.1	0	0	0	0	0	0
2490.2	0.05	0.224	0.05	0	0	0
2490.3	0.05	0.224	0.05	0	0	0
2490.4	0.1	0.308	0.095	0	0	0
2490.5	0.05	0.224	0.05	0	0	0
2490.6	0	0	0	0	0	0
2490.7	0	0	0	0	0	0
2490.8	0	0	0	0	0	0
2490.9	0	0	0	0	0	0
2491	0	0	0	0	0	0
2491.1	0	0	0	0	0	0
2491.2	0	0	0	0	0	0
2491.3	0	0	0	0	0	0
2491.4	0	0	0	0	0	0
2491.5	0	0	0	0	0	0
2491.6	0	0	0	0	0	0
2491.7	0	0	0	0	0	0
2491.8	0	0	0	0	0	0
2491.9	0.05	0.224	0.05	0	0	0
2492	0	0	0	0	0	0
2492.1	0	0	0	0	0	0
2492.2	0.05	0.224	0.05	0	0	0
2492.3	0	0	0	0	0	0
2492.4	0	0	0	0	0	0
2492.5	0	0	0	0	0	0
2492.6	0	0	0	0	0	0
2492.7	0	0	0	0	0	0
2492.8	0	0	0	0	0	0
2492.9	0	0	0	0	0	0
2493	0.05	0.224	0.05	0	0	0
2493.1	0	0	0	0	0	0
2493.2	0.25	0.444	0.197	0	0	0
2493.3	0.5	0.607	0.368	0	0	0
2493.4	0.35	0.489	0.239	0	0	0
2493.5	0.25	0.444	0.197	0	0	0
2493.6	0.15	0.366	0.134	0	0	0
2493.7	0.8	0.41	0.168	0	0	0
2493.8	0.45	0.51	0.261	0	0	0
2493.9	0.35	0.489	0.239	0	0	0
2494	0.5	0.513	0.263	0	0	0
2494.1	0.35	0.489	0.239	0	0	0
2494.2	0.3	0.47	0.221	0	0	0
2494.3	0.3	0.47	0.221	0	0	0
2494.4	0.2	0.41	0.168	0	0	0
2494.5	0.25	0.444	0.197	0	0	0
2494.6	0.3	0.47	0.221	0	0	0
2494.7	0.2	0.41	0.168	0	0	0
2494.8	0.1	0.308	0.095	0	0	0
2494.9	0.25	0.444	0.197	0	0	0
2495	0.3	0.47	0.221	0	0	0
2495.1	0.1	0.308	0.095	0	0	0
2495.2	0.1	0.308	0.095	0	0	0
