F 	Amp.mittel 	Amp.std 	Amp.var 	Phi-mittel 	Phi-std 	Phi-var
880.1	3.05	1.099	1.208	-0.314	0.967	0.935
880.2	3.506	0.52	0.27	-0.012	0.055	0.003
880.3	3.308	0.568	0.323	-0.016	0.072	0.005
880.4	3.4	0.503	0.253	0	0	0
880.5	3.606	0.509	0.259	-0.012	0.055	0.003
880.6	3.55	0.51	0.261	0	0	0
880.7	3.55	0.605	0.366	0	0	0
880.8	3.4	0.503	0.253	0	0	0
880.9	3.45	0.51	0.261	0	0	0
881	3.55	0.51	0.261	0	0	0
881.1	3.55	0.51	0.261	0	0	0
881.2	3.7	0.47	0.221	0	0	0
881.3	3.6	0.503	0.253	0	0	0
881.4	3.6	0.503	0.253	0	0	0
881.5	3.55	0.51	0.261	0	0	0
881.6	3.55	0.51	0.261	0	0	0
881.7	3.8	0.41	0.168	0	0	0
881.8	3.6	0.503	0.253	0	0	0
881.9	3.7	0.47	0.221	0	0	0
882	3.55	0.51	0.261	0	0	0
882.1	3.75	0.444	0.197	0	0	0
882.2	3.85	0.366	0.134	0	0	0
882.3	3.75	0.444	0.197	0	0	0
882.4	3.7	0.47	0.221	0	0	0
882.5	3.85	0.366	0.134	0	0	0
882.6	3.75	0.444	0.197	0	0	0
882.7	3.75	0.444	0.197	0	0	0
882.8	3.9	0.308	0.095	0	0	0
882.9	3.95	0.224	0.05	0	0	0
883	3.95	0.224	0.05	0	0	0
883.1	3.95	0.224	0.05	0	0	0
883.2	3.95	0.224	0.05	0	0	0
883.3	3.9	0.308	0.095	0	0	0
883.4	3.806	0.414	0.172	-0.012	0.055	0.003
883.5	4.006	0.326	0.106	0.012	0.055	0.003
883.6	3.95	0.224	0.05	0	0	0
883.7	3.856	0.589	0.347	0.012	0.055	0.003
883.8	4.056	0.224	0.05	0.012	0.055	0.003
883.9	4.05	0.394	0.155	0	0	0
884	4.05	0.394	0.155	0	0	0
884.1	4	0	0	0	0	0
884.2	3.95	0.224	0.05	0	0	0
884.3	4	0	0	0	0	0
884.4	4.1	0.308	0.095	0	0	0
884.5	4.162	0.363	0.132	0.024	0.075	0.006
884.6	4.05	0.394	0.155	0	0	0
884.7	4	0	0	0	0	0
884.8	4.055	0.246	0.06	-0.01	0.044	0.002
884.9	4.05	0.224	0.05	0	0	0
885	4	0	0	0	0	0
885.1	4	0	0	0	0	0
885.2	4.15	0.366	0.134	0	0	0
885.3	4.05	0.224	0.05	0	0	0
885.4	4	0	0	0	0	0
885.5	4.1	0.308	0.095	0	0	0
885.6	4.2	0.41	0.168	0	0	0
885.7	4.2	0.41	0.168	0	0	0
885.8	4.15	0.366	0.134	0	0	0
885.9	4.15	0.366	0.134	0	0	0
886	4.25	0.444	0.197	0	0	0
886.1	4.35	0.489	0.239	0	0	0
886.2	4.2	0.41	0.168	0	0	0
886.3	4.4	0.503	0.253	0	0	0
886.4	4.65	0.587	0.345	0	0	0
886.5	4.605	0.507	0.257	0.01	0.044	0.002
886.6	4.7	0.47	0.221	0	0	0
886.7	4.55	0.51	0.261	0	0	0
886.8	4.55	0.51	0.261	0	0	0
886.9	4.756	0.434	0.188	0.012	0.055	0.003
887	4.7	0.47	0.221	0	0	0
887.1	4.85	0.366	0.134	0	0	0
887.2	4.65	0.489	0.239	0	0	0
887.3	4.85	0.366	0.134	0	0	0
887.4	4.95	0.224	0.05	0	0	0
887.5	4.85	0.366	0.134	0	0	0
887.6	4.95	0.224	0.05	0	0	0
887.7	4.95	0.224	0.05	0	0	0
887.8	4.966	0.443	0.196	0.016	0.072	0.005
887.9	5.005	0.022	0	0.01	0.044	0.002
888	5.1	0.308	0.095	0	0	0
888.1	5.1	0.447	0.2	0	0	0
888.2	5	0	0	0	0	0
888.3	4.95	0.394	0.155	0	0	0
888.4	5.006	0.305	0.093	0.012	0.055	0.003
888.5	5.005	0.022	0	0.01	0.044	0.002
888.6	5	0	0	0	0	0
888.7	5.005	0.022	0	0.01	0.044	0.002
888.8	4.95	0.394	0.155	0	0	0
888.9	5	0.324	0.105	0	0	0
889	5.05	0.224	0.05	0	0	0
889.1	5	0	0	0	0	0
889.2	5	0	0	0	0	0
889.3	5.05	0.224	0.05	0	0	0
889.4	5	0	0	0	0	0
889.5	5.2	0.523	0.274	0	0	0
889.6	5.05	0.394	0.155	0	0	0
889.7	5.304	0.477	0.227	0.008	0.037	0.001
889.8	5.25	0.444	0.197	0	0	0
889.9	5.2	0.41	0.168	0	0	0
890	5.3	0.47	0.221	0	0	0
890.1	5.35	0.489	0.239	0	0	0
890.2	5.55	0.51	0.261	0	0	0
890.3	5.5	0.513	0.263	0	0	0
890.4	5.604	0.506	0.256	0.008	0.037	0.001
890.5	5.55	0.51	0.261	0	0	0
890.6	5.55	0.51	0.261	0	0	0
890.7	5.655	0.483	0.233	0.01	0.044	0.002
890.8	5.821	0.422	0.178	0.041	0.073	0.005
890.9	5.822	0.398	0.159	0.045	0.08	0.006
891	5.854	0.369	0.136	0.008	0.037	0.001
891.1	5.808	0.415	0.173	0.017	0.051	0.003
891.2	5.805	0.401	0.161	0.01	0.044	0.002
891.3	5.95	0.224	0.05	0	0	0
891.4	5.95	0.224	0.05	0	0	0
891.5	6.004	0.019	0	0.008	0.037	0.001
891.6	5.95	0.224	0.05	0	0	0
891.7	5.908	0.312	0.097	0.017	0.051	0.003
891.8	6.004	0.019	0	0.008	0.037	0.001
891.9	6.004	0.325	0.106	0.008	0.037	0.001
892	6	0	0	0	0	0
892.1	6.066	0.238	0.057	0.032	0.066	0.004
892.2	5.959	0.203	0.041	0.018	0.056	0.003
892.3	6.083	0.236	0.056	0.065	0.082	0.007
892.4	6.124	0.314	0.099	0.048	0.076	0.006
892.5	6.078	0.237	0.056	0.057	0.079	0.006
892.6	6.192	0.403	0.162	0.071	0.092	0.009
892.7	6.182	0.375	0.141	0.064	0.08	0.006
892.8	6.37	0.589	0.347	0.039	0.069	0.005
892.9	6.29	0.546	0.298	0.08	0.083	0.007
893	6.527	0.508	0.258	0.054	0.076	0.006
893.1	6.598	0.483	0.234	0.079	0.096	0.009
893.2	6.376	0.509	0.259	0.052	0.073	0.005
893.3	6.691	0.486	0.237	0.083	0.077	0.006
893.4	6.612	0.5	0.25	0.123	0.064	0.004
893.5	6.41	0.476	0.227	0.119	0.071	0.005
893.6	6.65	0.494	0.244	0.099	0.075	0.006
893.7	6.907	0.38	0.145	0.115	0.059	0.003
893.8	6.813	0.443	0.196	0.125	0.055	0.003
893.9	6.866	0.403	0.162	0.132	0.046	0.002
894	6.958	0.45	0.202	0.115	0.06	0.004
894.1	7.117	0.223	0.05	0.134	0.032	0.001
894.2	6.965	0.441	0.195	0.13	0.046	0.002
894.3	6.931	0.334	0.112	0.146	0.053	0.003
894.4	7.092	0.064	0.004	0.156	0.042	0.002
894.5	7.078	0.05	0.003	0.142	0.045	0.002
894.6	7.131	0.392	0.153	0.148	0.032	0.001
894.7	7.128	0.226	0.051	0.141	0.045	0.002
894.8	7.236	0.387	0.15	0.145	0.051	0.003
894.9	7.121	0.222	0.049	0.141	0.004	0
895	7.071	0	0	0.142	0	0
895.1	7.121	0.222	0.049	0.141	0.004	0
895.2	7.276	0.406	0.165	0.138	0.046	0.002
895.3	7.414	0.488	0.238	0.129	0.031	0.001
895.4	7.329	0.437	0.191	0.144	0.032	0.001
895.5	7.564	0.505	0.255	0.127	0.031	0.001
895.6	7.528	0.498	0.248	0.141	0.034	0.001
895.7	7.635	0.617	0.38	0.145	0.036	0.001
895.8	7.763	0.505	0.255	0.161	0.054	0.003
895.9	7.503	0.514	0.264	0.153	0.064	0.004
896	7.517	0.503	0.253	0.167	0.059	0.003
896.1	7.645	0.513	0.263	0.185	0.066	0.004
896.2	7.734	0.499	0.249	0.176	0.064	0.004
896.3	8.056	0.316	0.1	0.187	0.063	0.004
896.4	8.009	0.331	0.109	0.156	0.053	0.003
896.5	8.095	0.258	0.067	0.18	0.061	0.004
896.6	8.219	0.067	0.005	0.227	0.044	0.002
896.7	8.191	0.086	0.007	0.209	0.057	0.003
896.8	8.237	0.041	0.002	0.239	0.027	0.001
896.9	8.237	0.041	0.002	0.239	0.027	0.001
897	8.219	0.067	0.005	0.227	0.044	0.002
897.1	8.392	0.357	0.127	0.241	0.01	0
897.2	8.441	0.399	0.16	0.24	0.011	0
897.3	8.481	0.419	0.176	0.233	0.031	0.001
897.4	8.538	0.458	0.209	0.237	0.012	0
897.5	8.837	0.529	0.28	0.252	0.043	0.002
897.6	8.894	0.46	0.211	0.234	0.032	0.001
897.7	8.811	0.471	0.222	0.242	0.042	0.002
897.8	9.018	0.434	0.188	0.241	0.042	0.002
897.9	9.019	0.399	0.159	0.242	0.047	0.002
898	9.207	0.432	0.187	0.274	0.05	0.002
898.1	9.238	0.261	0.068	0.246	0.045	0.002
898.2	9.251	0.267	0.071	0.251	0.048	0.002
898.3	9.253	0.204	0.042	0.251	0.052	0.003
898.4	9.244	0.321	0.103	0.268	0.054	0.003
898.5	9.355	0.298	0.089	0.271	0.057	0.003
898.6	9.566	0.393	0.154	0.27	0.064	0.004
898.7	9.477	0.317	0.101	0.278	0.053	0.003
898.8	9.724	0.503	0.254	0.292	0.051	0.003
898.9	9.845	0.491	0.241	0.294	0.069	0.005
899	9.913	0.779	0.608	0.297	0.078	0.006
899.1	10.184	0.64	0.41	0.252	0.043	0.002
899.2	9.964	0.537	0.289	0.301	0.058	0.003
899.3	10.027	0.463	0.214	0.336	0.061	0.004
899.4	10.051	0.492	0.242	0.33	0.046	0.002
899.5	10.192	0.741	0.548	0.34	0.04	0.002
899.6	10.314	0.419	0.176	0.358	0.055	0.003
899.7	10.502	0.41	0.168	0.365	0.043	0.002
899.8	10.609	0.239	0.057	0.351	0.046	0.002
899.9	10.578	0.348	0.121	0.357	0.042	0.002
900	10.721	0.121	0.015	0.367	0.033	0.001
900.1	10.818	0.366	0.134	0.379	0.013	0
900.2	10.771	0.301	0.091	0.381	0.011	0
900.3	11.075	0.449	0.201	0.375	0.038	0.001
900.4	10.885	0.421	0.178	0.382	0.024	0.001
900.5	11.011	0.396	0.157	0.396	0.038	0.001
900.6	11.206	0.436	0.19	0.414	0.046	0.002
900.7	11.289	0.528	0.278	0.42	0.039	0.002
900.8	11.468	0.49	0.24	0.423	0.043	0.002
900.9	11.365	0.443	0.196	0.446	0.028	0.001
901	11.611	0.492	0.242	0.441	0.023	0.001
901.1	11.903	0.37	0.137	0.434	0.015	0
901.2	11.767	0.442	0.195	0.44	0.018	0
901.3	11.947	0.416	0.173	0.441	0.025	0.001
901.4	12.219	0.384	0.147	0.476	0.04	0.002
901.5	12.175	0.37	0.137	0.469	0.042	0.002
901.6	12.354	0.298	0.089	0.489	0.034	0.001
901.7	12.418	0.199	0.039	0.481	0.032	0.001
901.8	12.418	0.199	0.039	0.481	0.032	0.001
901.9	12.508	0.1	0.01	0.496	0.016	0
902	12.596	0.298	0.089	0.492	0.019	0
902.1	12.574	0.198	0.039	0.498	0.008	0
902.2	12.688	0.334	0.111	0.497	0.021	0
902.3	12.758	0.371	0.138	0.499	0.027	0.001
902.4	12.909	0.407	0.166	0.519	0.039	0.002
902.5	13.314	0.429	0.184	0.519	0.043	0.002
902.6	13.323	0.52	0.27	0.536	0.03	0.001
902.7	13.416	0.465	0.216	0.541	0.028	0.001
902.8	13.647	0.484	0.235	0.548	0.023	0.001
902.9	13.815	0.403	0.162	0.553	0.035	0.001
903	13.965	0.367	0.135	0.563	0.039	0.002
903.1	14.14	0.334	0.111	0.576	0.035	0.001
903.2	14.355	0.213	0.045	0.587	0.017	0
903.3	14.381	0.184	0.034	0.59	0.009	0
903.4	14.422	0	0	0.588	0	0
903.5	14.544	0.357	0.128	0.612	0.031	0.001
903.6	14.884	0.237	0.056	0.632	0.023	0.001
903.7	14.961	0.176	0.031	0.646	0.009	0
903.8	15	0	0	0.644	0	0
903.9	15.031	0.139	0.019	0.646	0.011	0
904	15.403	0.304	0.092	0.677	0.025	0.001
904.1	15.527	0.227	0.052	0.687	0.019	0
904.2	15.589	0.139	0.019	0.692	0.011	0
904.3	15.583	0.169	0.028	0.697	0.01	0
904.4	15.818	0.31	0.096	0.709	0.022	0
904.5	16.081	0.31	0.096	0.728	0.022	0
904.6	16.152	0.356	0.127	0.728	0.022	0
904.7	16.283	0.229	0.052	0.738	0.013	0
904.8	16.358	0.324	0.105	0.734	0.017	0
904.9	16.422	0.372	0.138	0.742	0.014	0
905	16.814	0.392	0.154	0.75	0.034	0.001
905.1	16.697	0.35	0.123	0.773	0.031	0.001
905.2	16.91	0.509	0.259	0.773	0.033	0.001
905.3	17.194	0.69	0.476	0.798	0.036	0.001
905.4	17.349	0.744	0.553	0.814	0.046	0.002
905.5	17.622	0.606	0.367	0.813	0.032	0.001
905.6	17.663	0.704	0.496	0.82	0.035	0.001
905.7	17.801	0.598	0.358	0.853	0.037	0.001
905.8	18.057	0.786	0.617	0.862	0.031	0.001
905.9	18.015	1.194	1.425	0.888	0.06	0.004
906	18.132	0.488	0.238	0.863	0.073	0.005
906.1	18.106	0.443	0.197	0.911	0.019	0
906.2	18.455	0.523	0.274	0.922	0.023	0.001
906.3	18.642	0.182	0.033	0.94	0.007	0
906.4	18.847	0.563	0.317	0.948	0.018	0
906.5	19.076	0.538	0.289	0.962	0.02	0
906.6	19.16	0.617	0.381	0.984	0.031	0.001
906.7	19.211	0.506	0.257	0.989	0.021	0
906.8	19.477	0.432	0.187	1.025	0.02	0
906.9	19.68	0.191	0.037	1.038	0.006	0
907	19.723	0	0	1.039	0	0
907.1	19.911	0.441	0.195	1.053	0.02	0
907.2	20.094	0.479	0.23	1.078	0.025	0.001
907.3	20.082	0.323	0.104	1.1	0.014	0
907.4	20.082	0.319	0.101	1.112	0.016	0
907.5	20.317	0.469	0.22	1.134	0.026	0.001
907.6	20.505	0.493	0.243	1.149	0.023	0.001
907.7	20.586	0.271	0.074	1.164	0.019	0
907.8	20.616	0	0	1.172	0	0
907.9	20.729	0.535	0.286	1.198	0.021	0
908	20.71	0.37	0.137	1.187	0.023	0.001
908.1	20.973	0.557	0.31	1.208	0.021	0
908.2	21.072	0.445	0.198	1.222	0.018	0
908.3	21.19	0.306	0.094	1.234	0.005	0
908.4	21.129	0.28	0.078	1.251	0.022	0
908.5	21.245	0.453	0.206	1.272	0.022	0
908.6	21.312	0.49	0.24	1.285	0.007	0
908.7	21.463	0.438	0.192	1.304	0.024	0.001
908.8	21.389	0.572	0.327	1.327	0.03	0.001
908.9	21.328	0.694	0.482	1.339	0.028	0.001
909	21.44	0.334	0.111	1.369	0.022	0
909.1	21.517	0.366	0.134	1.386	0.011	0
909.2	21.64	0.453	0.205	1.394	0.02	0
909.3	21.495	0.468	0.219	1.421	0.023	0.001
909.4	21.495	0.48	0.231	1.438	0.022	0.001
909.5	21.7	0.504	0.254	1.455	0.024	0.001
909.6	21.646	1.921	3.692	1.486	0.043	0.002
909.7	21.751	0.466	0.217	1.506	0.023	0.001
909.8	21.74	0.474	0.225	1.513	0.02	0
909.9	21.673	0.489	0.239	1.529	0.02	0
910	21.659	0.484	0.234	1.552	0.024	0.001
910.1	21.801	0.411	0.169	1.569	0.01	0
910.2	21.651	0.671	0.451	1.569	0.01	0
910.3	21.8	0.41	0.168	1.571	0	0
910.4	21.356	0.492	0.242	1.582	0.021	0
910.5	21.518	0.509	0.259	1.606	0.021	0
910.6	21.274	0.444	0.197	1.618	0.001	0
910.7	21.252	0.406	0.165	1.637	0.024	0.001
910.8	21.09	0.554	0.307	1.661	0.022	0
910.9	21.107	0.036	0.001	1.67	0.014	0
911	21.215	0.24	0.058	1.694	0.023	0.001
911.1	21.059	0.361	0.13	1.711	0.011	0
911.2	20.68	0.539	0.291	1.699	0.031	0.001
911.3	20.745	0.493	0.243	1.687	0.025	0.001
911.4	20.316	0.308	0.095	1.717	0.011	0
911.5	20.372	0.362	0.131	1.719	0.003	0
911.6	20.275	0.081	0.007	1.734	0.023	0.001
911.7	20.338	0.22	0.049	1.766	0.011	0
911.8	21.79	4.631	21.448	1.772	0.186	0.035
911.9	20.147	1.023	1.047	1.788	0.047	0.002
912	19.813	0.555	0.308	1.798	0.027	0.001
912.1	19.635	0.052	0.003	1.826	0.011	0
912.2	19.661	0.062	0.004	1.831	0.011	0
912.3	19.592	0.327	0.107	1.837	0.018	0
912.4	19.076	0.454	0.206	1.874	0.023	0.001
912.5	19.04	0.316	0.1	1.886	0.016	0
912.6	18.991	0.076	0.006	1.895	0.011	0
912.7	18.947	0.343	0.118	1.904	0.02	0
912.8	18.833	0.486	0.236	1.926	0.027	0.001
912.9	18.47	0.385	0.148	1.951	0.019	0
913	18.431	0.208	0.043	1.96	0.004	0
913.1	18.202	0.442	0.196	1.966	0.015	0
913.2	18.327	0.406	0.165	1.975	0.02	0
913.3	17.936	0.496	0.246	1.987	0.025	0.001
913.4	17.858	0.431	0.186	2.004	0.028	0.001
913.5	17.825	0.155	0.024	2.027	0.019	0
913.6	17.472	0.42	0.176	2.024	0.031	0.001
913.7	17.583	0.483	0.234	2.05	0.027	0.001
913.8	17.178	0.365	0.133	2.055	0.011	0
913.9	17.068	0.304	0.092	2.062	0.005	0
914	17.06	0.392	0.154	2.079	0.023	0.001
914.1	16.841	0.577	0.333	2.086	0.021	0
914.2	16.548	0.463	0.214	2.103	0.029	0.001
